"","country","year","GDP","CPI","Unemployment","GNI","Household","Trade"
"1","SVN","1961",NA,NA,NA,NA,NA,NA
"2","SVN","1962",NA,NA,NA,NA,NA,NA
"3","SVN","1963",NA,NA,NA,NA,NA,NA
"4","SVN","1964",NA,NA,NA,NA,NA,NA
"5","SVN","1965",NA,NA,NA,NA,NA,NA
"6","SVN","1966",NA,NA,NA,NA,NA,NA
"7","SVN","1967",NA,NA,NA,NA,NA,NA
"8","SVN","1968",NA,NA,NA,NA,NA,NA
"9","SVN","1969",NA,NA,NA,NA,NA,NA
"10","SVN","1970",NA,NA,NA,NA,NA,NA
"11","SVN","1971",NA,NA,NA,NA,NA,NA
"12","SVN","1972",NA,NA,NA,NA,NA,NA
"13","SVN","1973",NA,NA,NA,NA,NA,NA
"14","SVN","1974",NA,NA,NA,NA,NA,NA
"15","SVN","1975",NA,NA,NA,NA,NA,NA
"16","SVN","1976",NA,NA,NA,NA,NA,NA
"17","SVN","1977",NA,NA,NA,NA,NA,NA
"18","SVN","1978",NA,NA,NA,NA,NA,NA
"19","SVN","1979",NA,NA,NA,NA,NA,NA
"20","SVN","1980",NA,NA,NA,NA,NA,NA
"21","SVN","1981",NA,NA,NA,NA,NA,NA
"22","SVN","1982",NA,NA,NA,NA,NA,NA
"23","SVN","1983",NA,NA,NA,NA,NA,NA
"24","SVN","1984",NA,NA,NA,NA,NA,NA
"25","SVN","1985",NA,NA,NA,NA,NA,NA
"26","SVN","1986",NA,NA,NA,NA,NA,NA
"27","SVN","1987",NA,NA,NA,NA,NA,NA
"28","SVN","1988",NA,NA,NA,NA,NA,NA
"29","SVN","1989",NA,NA,NA,NA,NA,NA
"30","SVN","1990",NA,NA,NA,NA,NA,NA
"31","SVN","1991",NA,NA,7.09999990463257,NA,10871065593.3056,NA
"32","SVN","1992",NA,NA,NA,NA,10752101039.3487,NA
"33","SVN","1993",NA,32.8583333333328,8.69999980926514,NA,12551952567.7914,NA
"34","SVN","1994",NA,20.9935394844134,8.19999980926514,NA,13328493843.9683,NA
"35","SVN","1995",10690.6619764623,13.4629341627788,7.19999980926514,NA,14842717955.8103,93.4633826443571
"36","SVN","1996",10801.4311015494,9.79228486646888,6.90000009536743,NA,15694998147.7888,93.6277192727944
"37","SVN","1997",10447.9377477966,8.36176972406888,6.59999990463257,NA,16534194068.9933,96.3260175754652
"38","SVN","1998",11165.2750214767,7.91334681633715,7.40000009536743,NA,17192001398.9889,96.7750621847972
"39","SVN","1999",11441.9962270358,6.14945347974283,7.30000019073486,NA,18537000463.815,92.6290908499299
"40","SVN","2000",10227.7348765409,8.87880367807372,6.90000009536743,NA,19058755676.2857,103.679140322411
"41","SVN","2001",10479.2977776263,8.4224846275235,5.69999980926514,NA,19804227845.465,104.538660041226
"42","SVN","2002",11814.1020929149,7.47008752910945,6.30000019073486,NA,20949688324.0462,103.327168304442
"43","SVN","2003",14880.4689893241,5.57880186053464,6.69999980926514,NA,21841114248.4662,102.108464010909
"44","SVN","2004",17260.9023870701,3.58902679606162,6.30000019073486,NA,22965049126.6877,111.377097283604
"45","SVK","1961",NA,NA,NA,NA,NA,NA
"46","SVK","1962",NA,NA,NA,NA,NA,NA
"47","SVK","1963",NA,NA,NA,NA,NA,NA
"48","SVK","1964",NA,NA,NA,NA,NA,NA
"49","SVK","1965",NA,NA,NA,NA,NA,NA
"50","SVK","1966",NA,NA,NA,NA,NA,NA
"51","SVK","1967",NA,NA,NA,NA,NA,NA
"52","SVK","1968",NA,NA,NA,NA,NA,NA
