"","country","GDP","CPI","Unemployment","GNI","Household","Trade"
"1","SVN",70127.5973864603,37.8623867131396,36.1900002002716,0,110408845944.481,563.315253449798
"2","SVK",39027.9556270358,42.2060454193711,93.9600009918213,0,192448430854.623,665.801892277986
"3","POL",28470.4972368278,35.3082361385856,92.3599988937378,0,1326215531900.31,339.150773760336
"4","MLT",62542.2140645913,12.996048209454,28.3200003147125,10.8262497918957,23495263177.2331,908.511372875498
"5","LTU",23784.3185040029,15.9009856385765,75.2899986267089,31.9510914289478,108975945340.134,516.262383416883
"6","LVA",23063.1494233083,25.3053539220982,72.9600005149841,28.1981509605754,64885673621.3329,474.611894149725
"7","HUN",36593.5744070387,51.1461908900946,36.1499999523163,20.808884977704,390394490961.426,650.152971418442
"8","EST",30901.1676368132,29.1369611130697,61.25,21.2011872816993,41904854779.7335,728.750679601818
"9","CZE",44448.0293510422,20.5516267653449,40.510000038147,12.9507018124087,466034236986.013,529.56289540769
"10","CYP",95772.8575529779,15.76628703839,16.4300000667572,20.1797985829403,48994581470.4687,697.635190319739
